1506798744.540000, /muse/acc, -105.46892, 1003.90784, 74.218864
1506798744.591000, /muse/acc, -105.46892, 1003.90784, 78.12512
1506798744.591000, /muse/eeg, 843.87494, 1052.7875, 649.7672, 860.3247
1506798744.591000, /muse/eeg/quantization, 1, 128, 128, 1
1506798744.591000, /muse/eeg, 843.87494, 1263.3448, 860.3247, 876.77454
1506798744.591000, /muse/eeg, 853.7448, 1263.3448, 860.3247, 886.6444
1506798744.591000, /muse/eeg, 847.16486, 842.2299, 439.20975, 865.25964
1506798744.591000, /muse/eeg, 838.94, 1052.7875, 649.7672, 871.8396
1506798744.591000, /muse/eeg, 843.87494, 1052.7875, 649.7672, 889.9344
1506798744.592000, /muse/eeg, 830.7151, 842.2299, 439.20975, 886.6444
1506798744.592000, /muse/eeg, 840.58496, 1473.9023, 1070.8822, 863.6147
1506798744.592000, /muse/eeg, 843.87494, 1473.9023, 1070.8822, 878.4195
1506798744.592000, /muse/eeg, 837.295, 1052.7875, 649.7672, 889.9344
1506798744.592000, /muse/eeg, 850.45483, 842.2299, 649.7672, 893.2243
1506798744.592000, /muse/eeg, 835.65, 842.2299, 649.7672, 880.06445
1506798744.592000, /muse/eeg, 837.295, 1473.9023, 1070.8822, 898.15924
1506798744.592000, /muse/eeg, 837.295, 1263.3448, 1070.8822, 898.15924
1506798744.592000, /muse/elements/alpha_relative, 0.14558995, nan, nan, 0.24591115
1506798744.592000, /muse/elements/beta_relative, 0.10285116, nan, nan, 0.13036409
1506798744.592000, /muse/elements/delta_relative, 0.52038753, nan, nan, 0.3770153
1506798744.592000, /muse/elements/gamma_relative, 0.058312453, nan, nan, 0.082164116
1506798744.592000, /muse/elements/theta_relative, 0.17285892, nan, nan, 0.16454534
1506798744.592000, /muse/elements/horseshoe, 1.0, 4.0, 4.0, 1.0
1506798744.592000, /muse/elements/is_good, 1, 0, 0, 1
1506798744.592000, /muse/elements/blink, 0
1506798744.592000, /muse/elements/jaw_clench, 1
1506798744.592000, /muse/elements/touching_forehead, 1
1506798744.592000, /muse/elements/experimental/concentration, 0.8221644
1506798744.592000, /muse/elements/experimental/mellow, 0.9064379
1506798744.593000, /muse/elements/raw_fft0, 9.898332, 16.971798, 12.6248045, 9.250087, 8.617724, 4.2799535, -0.96482927, 2.2435434, -0.5659227, -2.6012964, -3.300322, -1.6771098, -4.173302, -5.7165394, -5.5140824, -1.71318, -5.1940374, -3.672146, -11.110838, -9.627527, -7.6198816, -5.518051, -3.358829, -4.887013, -3.5635371, -2.2598195, -7.3624005, -7.945788, -7.4155483, -6.366481, -5.4607286, -4.1562796, -7.350064, -8.854121, -8.043323, -9.760333, -8.0364485, -9.244586, -5.8809576, -7.3241806, -9.791094, -7.1357236, -7.594477, -6.3371234, -3.9000106, -4.032784, -8.880831, -13.361265, -9.685028, -8.428105, -16.561647, -9.824794, -8.339958, -6.4137373, -3.9444795, -7.9798846, -12.053402, -9.732835, -11.641977, -17.173218, -9.667523, -9.15364, -10.696744, -13.213313, -18.274614, -16.707512, -14.224385, -16.044249, -17.137663, -14.932412, -13.632926, -19.76179, -14.117516, -18.25006, -25.161022, -19.064247, -12.246703, -17.769201, -12.180346, -12.710389, -15.457345, -13.312233, -12.700398, -14.5952835, -8.4611225, -7.7828856, -7.833635, -7.4388356, -10.39106, -10.554961, -16.585567, -14.293528, -20.251667, -15.36963, -12.288928, -7.77517, -10.197151, -14.0602455, -14.957922, -12.863878, -18.448181, -11.654524, -13.906918, -15.15012, -15.141947, -14.067548, -13.000097, -11.7936, -12.564251, -18.81657, -12.77917, -16.67441, -14.819959, -10.599956, -12.664264, -16.751734, -15.532976, -20.89359, -18.188656, -15.505553, -18.695433, -17.306822, -17.864029, -15.73814, -13.248783, -16.618917, -18.928865, -19.26082, -15.621087
1506798744.593000, /muse/elements/raw_fft1, 25.405767, 30.202822, 33.22676, 36.55315, 36.20074, 34.675533, 27.89102, 19.035975, 19.233871, 18.324446, 20.697977, 27.744713, 26.730341, 26.915154, 24.211626, 19.199484, 21.311613, 25.384796, 22.33207, 16.240194, 17.40798, 18.37326, 19.369923, 21.916004, 22.320704, 20.726967, 25.82863, 25.174145, 23.800756, 22.856903, 18.821505, 23.832516, 23.990559, 15.450349, 16.433313, 21.602442, 20.37565, 20.30476, 24.532106, 22.79411, 21.540361, 18.492176, 18.248661, 23.21573, 25.476154, 25.53581, 24.380188, 22.8518, 24.124083, 21.412174, 16.806019, 21.124657, 25.8475, 24.895323, 28.554508, 25.14615, 20.113823, 23.16763, 23.703657, 16.86766, 14.429379, 21.158995, 19.442242, 16.700619, 17.558565, 16.536087, 16.757256, 17.817509, 14.98339, 14.114752, 14.588975, 12.718519, 14.259311, 13.792836, 16.538383, 15.07068, 15.168114, 14.407495, 13.633739, 13.499216, 13.713178, 22.600895, 26.810223, 25.733017, 22.802366, 23.391685, 23.965084, 14.511852, 10.8650875, 18.7119, 20.246716, 18.98173, 20.120617, 19.634594, 22.593458, 19.53347, 17.380669, 21.930164, 22.922377, 25.501413, 18.226269, 9.460713, 17.427895, 20.984587, 21.177774, 21.464092, 19.321857, 21.38745, 18.769253, 17.913586, 25.385702, 23.71205, 23.116262, 18.238503, 11.703589, 14.4451275, 18.331404, 18.646994, 20.938503, 23.365423, 19.32955, 17.185593, 14.534584, 15.648696, 20.18594, 13.848816, 17.041683, 17.845846, 13.903051
1506798744.594000, /muse/elements/raw_fft2, 23.347197, 30.89399, 26.917141, 32.18016, 33.55173, 33.136066, 30.325443, 23.657877, 26.40386, 28.69591, 28.565908, 28.934866, 25.415493, 21.62115, 20.776764, 21.88946, 21.72214, 22.8811, 19.011383, 14.502103, 16.853954, 14.907238, 21.531937, 18.203554, 19.102503, 18.180426, 22.566753, 21.466852, 22.11097, 21.876842, 20.489296, 24.367672, 22.001608, 13.427202, 15.743652, 16.35589, 19.566475, 19.52363, 23.54978, 21.459637, 20.509676, 19.068022, 20.276676, 21.501106, 23.2267, 23.345627, 20.365847, 19.459196, 20.924828, 17.20263, 13.754215, 18.98293, 24.033903, 22.595787, 26.652308, 23.720984, 20.710428, 22.204786, 21.247248, 13.529152, 15.426871, 20.439978, 17.993315, 12.58917, 10.250167, 13.702842, 15.635513, 17.739862, 11.594438, 9.373485, 11.665273, 12.297912, 12.3675375, 7.591871, 7.9466457, 12.056122, 13.948974, 11.804019, 12.186654, 12.071944, 12.795461, 20.762693, 25.415735, 24.254486, 20.612913, 20.893194, 20.517508, 10.120124, 9.928984, 18.44209, 19.333078, 18.351372, 20.126825, 19.78463, 21.654356, 19.971598, 19.832636, 22.384254, 22.623503, 24.409052, 17.705431, 13.206822, 16.211895, 18.708452, 21.011307, 22.053629, 19.053627, 20.874838, 20.399403, 18.526724, 24.925661, 22.49123, 20.745916, 19.174156, 13.049643, 9.645524, 14.698427, 15.098906, 19.057714, 21.591047, 15.971768, 11.71303, 11.426149, 16.14855, 20.214804, 13.943001, 16.62766, 16.992405, 10.517078
1506798744.594000, /muse/elements/raw_fft3, 1.8419175, 6.72835, 4.0285897, 3.6779392, 3.2479377, -0.955646, 1.4929326, -2.8460948, -2.436715, -3.6953413, -1.3105336, 1.582153, 1.0143865, -11.2593155, -10.1205635, -5.5292654, -7.3966265, -6.230497, -8.172671, -3.9686856, -3.6969967, -5.3940387, -9.4116955, -5.8229904, -7.354857, -4.3758864, -5.525445, -6.9389277, -7.591685, -12.851909, -13.3414755, -10.62843, -11.335068, -9.938752, -13.118815, -15.8185005, -12.127573, -6.2871485, -10.019019, -8.571256, -7.8265104, -13.043859, -14.377909, -13.972454, -17.677645, -15.941867, -8.703845, -7.172332, -6.3203096, -8.581349, -14.408223, -16.630608, -9.385721, -13.493997, -17.022182, -15.328557, -10.2001295, -13.397097, -12.223695, -17.15961, -11.287499, -10.498676, -15.03659, -10.894501, -11.115804, -12.808751, -18.072763, -19.717152, -12.3183, 7.789044, 9.461825, -4.62142, -21.64384, -15.005934, -19.208109, -22.083563, -13.491437, -11.915753, -16.896774, -9.625006, -13.454117, -17.840279, -13.359843, -14.002005, -12.81705, -10.377918, -17.653568, -17.687052, -12.077141, -14.002345, -16.40715, -18.721563, -15.196866, -16.16117, -12.926576, -14.068493, -16.55206, -14.228713, -18.32353, -21.840494, -15.621746, -10.342012, -15.719995, -18.379837, -17.821527, -18.831312, -22.078962, -17.467884, -16.997013, -16.476334, -18.244629, -17.27324, -15.814585, -19.020906, -17.506306, -17.311605, -4.5988364, -2.163247, -13.906892, -22.381464, -27.799076, -26.532158, -23.213354, -19.243874, -22.869696, -24.29051, -26.583439, -24.723286, -33.5352
1506798744.594000, /muse/elements/low_freqs_absolute, 1.7067263, 0.0, 0.0, 1.2157992
1506798744.594000, /muse/elements/alpha_absolute, 1.0289701, 0.0, 0.0, 0.8729304
1506798744.594000, /muse/elements/beta_absolute, 0.8780479, 0.0, 0.0, 0.5973101
1506798744.594000, /muse/elements/delta_absolute, 1.5821656, 0.0, 0.0, 1.0585111
1506798744.594000, /muse/elements/gamma_absolute, 0.6316, 0.0, 0.0, 0.39683434
1506798744.594000, /muse/elements/theta_absolute, 1.1035305, 0.0, 0.0, 0.69843775
1506798744.594000, /muse/elements/alpha_session_score, 0.6923077, 1.0, 1.0, 0.8
1506798744.594000, /muse/elements/beta_session_score, 0.47058824, 1.0, 1.0, 0.6785714
1506798744.594000, /muse/elements/delta_session_score, 0.8560606, 1.0, 1.0, 0.39097744
1506798744.594000, /muse/elements/gamma_session_score, 0.5, 1.0, 1.0, 0.7307692
1506798744.594000, /muse/elements/theta_session_score, 0.7777778, 1.0, 1.0, 0.3442623
1506798744.594000, /muse/eeg, 842.2299, 1263.3448, 1070.8822, 881.7095
1506798744.594000, /muse/eeg, 840.58496, 842.2299, 649.7672, 878.4195
1506798744.594000, /muse/drlref, 1635483.9, 1645161.2
